2025-12-20 20:07:31 | INFO     | 11832:24572 | app.mapping.dragon_tiger.daily_mapping:map_daily_dragon_tiger:38 - 尝试 API: akshare (优先级 1)
2025-12-20 20:07:31 | DEBUG    | 11832:24572 | app.data_sources.akshare_client:fetch:16 - Calling Akshare API: stock_lhb_detail_em with params: {'start_date': '20251219', 'end_date': '20251219'}
2025-12-20 20:07:35 | DEBUG    | 11832:24572 | app.data_sources.akshare_client:fetch:24 - Received data from Akshare API 'stock_lhb_detail_em':     序号      代码    名称         上榜日                   解读    收盘价      涨跌幅  ...      换手率          流通市值   ...
2025-12-20 20:07:35 | INFO     | 11832:24572 | app.mapping.dragon_tiger.daily_config:_fetch_from_akshare:78 - 成功获取龙虎榜数据: 68 条记录
2025-12-20 20:07:35 | INFO     | 11832:24572 | app.mapping.dragon_tiger.daily_mapping:map_daily_dragon_tiger:46 - API akshare 成功获取 68 条龙虎榜记录
2025-12-20 20:07:35 | INFO     | 11832:24572 | app.mapping.dragon_tiger.daily_mapping:map_daily_dragon_tiger:60 - 龙虎榜数据映射完成: 共 68 条记录
2025-12-20 20:07:35 | INFO     | 11832:24572 | app.repository.dragon_tiger.daily_dragon_tiger:bulk_upsert:88 - 龙虎榜数据批量操作完成: 创建 13 条, 更新 55 条
2025-12-20 20:07:35 | INFO     | 11832:24572 | app.services.dragon_tiger_service:import_by_date:52 - 龙虎榜数据导入完成: 20251219 - 创建 13 条, 更新 55 条
2025-12-20 20:07:35 | INFO     | 11832:24572 | __main__:import_single_date:86 - ✓ 龙虎榜数据导入完成: 20251219 - 创建 13 条, 更新 55 条
2025-12-20 20:07:35 | INFO     | 11832:24572 | app.services.dragon_tiger_service:import_by_date:38 - 开始导入龙虎榜数据: 20251219
2025-12-20 20:07:35 | INFO     | 11832:24572 | app.mapping.dragon_tiger.daily_mapping:map_daily_dragon_tiger:29 - 开始获取龙虎榜数据: 20251219 - 20251219
2025-12-20 20:07:35 | INFO     | 11832:24572 | app.mapping.dragon_tiger.daily_mapping:map_daily_dragon_tiger:38 - 尝试 API: akshare (优先级 1)
2025-12-20 20:07:35 | DEBUG    | 11832:24572 | app.data_sources.akshare_client:fetch:16 - Calling Akshare API: stock_lhb_detail_em with params: {'start_date': '20251219', 'end_date': '20251219'}
2025-12-20 20:07:39 | DEBUG    | 11832:24572 | app.data_sources.akshare_client:fetch:24 - Received data from Akshare API 'stock_lhb_detail_em':     序号      代码    名称         上榜日                   解读    收盘价      涨跌幅  ...      换手率          流通市值   ...
2025-12-20 20:07:39 | INFO     | 11832:24572 | app.mapping.dragon_tiger.daily_config:_fetch_from_akshare:78 - 成功获取龙虎榜数据: 68 条记录
2025-12-20 20:07:39 | INFO     | 11832:24572 | app.mapping.dragon_tiger.daily_mapping:map_daily_dragon_tiger:46 - API akshare 成功获取 68 条龙虎榜记录
2025-12-20 20:07:39 | INFO     | 11832:24572 | app.mapping.dragon_tiger.daily_mapping:map_daily_dragon_tiger:60 - 龙虎榜数据映射完成: 共 68 条记录
2025-12-20 20:07:39 | INFO     | 11832:24572 | app.repository.dragon_tiger.daily_dragon_tiger:bulk_upsert:88 - 龙虎榜数据批量操作完成: 创建 0 条, 更新 68 条
2025-12-20 20:07:39 | INFO     | 11832:24572 | app.services.dragon_tiger_service:import_by_date:52 - 龙虎榜数据导入完成: 20251219 - 创建 0 条, 更新 68 条
2025-12-20 20:07:39 | INFO     | 11832:24572 | __main__:main:173 - ============================================================
2025-12-20 20:07:39 | INFO     | 11832:24572 | __main__:main:174 - 导入完成
2025-12-20 20:07:39 | INFO     | 11832:24572 | __main__:main:175 - 成功: 1 天
2025-12-20 20:07:39 | INFO     | 11832:24572 | __main__:main:176 - 失败: 0 天
2025-12-20 20:07:39 | INFO     | 11832:24572 | __main__:main:177 - 总计创建: 0 条
2025-12-20 20:07:39 | INFO     | 11832:24572 | __main__:main:178 - 总计更新: 68 条
2025-12-20 20:07:39 | INFO     | 11832:24572 | __main__:main:179 - ============================================================
2025-12-20 20:07:56 | INFO     | 35552:34828 | app.models.base:init_db:28 - 数据库表初始化完成
2025-12-20 20:13:30 | INFO     | 34616:35108 | app.models.base:init_db:28 - 数据库表初始化完成
2025-12-20 20:13:30 | INFO     | 34616:35108 | __main__:main:154 - ============================================================
2025-12-20 20:13:30 | INFO     | 34616:35108 | __main__:main:155 - 开始批量导入龙虎榜数据
2025-12-20 20:13:30 | INFO     | 34616:35108 | __main__:main:156 - 日期数量: 18
2025-12-20 20:13:30 | INFO     | 34616:35108 | __main__:main:157 - ============================================================
2025-12-20 20:13:30 | INFO     | 34616:35108 | app.services.dragon_tiger_service:import_by_date:38 - 开始导入龙虎榜数据: 20251201
2025-12-20 20:13:30 | INFO     | 34616:35108 | app.mapping.dragon_tiger.daily_mapping:map_daily_dragon_tiger:29 - 开始获取龙虎榜数据: 20251201 - 20251201
2025-12-20 20:13:30 | INFO     | 34616:35108 | app.mapping.dragon_tiger.daily_mapping:map_daily_dragon_tiger:38 - 尝试 API: akshare (优先级 1)
2025-12-20 20:13:30 | DEBUG    | 34616:35108 | app.data_sources.akshare_client:fetch:16 - Calling Akshare API: stock_lhb_detail_em with params: {'start_date': '20251201', 'end_date': '20251201'}
2025-12-20 20:13:36 | DEBUG    | 34616:35108 | app.data_sources.akshare_client:fetch:24 - Received data from Akshare API 'stock_lhb_detail_em':     序号      代码     名称         上榜日                   解读  ...                                      上榜原...
2025-12-20 20:13:36 | INFO     | 34616:35108 | app.mapping.dragon_tiger.daily_config:_fetch_from_akshare:78 - 成功获取龙虎榜数据: 65 条记录
2025-12-20 20:13:36 | INFO     | 34616:35108 | app.mapping.dragon_tiger.daily_mapping:map_daily_dragon_tiger:46 - API akshare 成功获取 65 条龙虎榜记录
2025-12-20 20:13:36 | INFO     | 34616:35108 | app.mapping.dragon_tiger.daily_mapping:map_daily_dragon_tiger:60 - 龙虎榜数据映射完成: 共 65 条记录
2025-12-20 20:13:36 | INFO     | 34616:35108 | app.repository.dragon_tiger.daily_dragon_tiger:bulk_upsert:88 - 龙虎榜数据批量操作完成: 创建 65 条, 更新 0 条
2025-12-20 20:13:36 | INFO     | 34616:35108 | app.services.dragon_tiger_service:import_by_date:52 - 龙虎榜数据导入完成: 20251201 - 创建 65 条, 更新 0 条
2025-12-20 20:13:36 | INFO     | 34616:35108 | app.services.dragon_tiger_service:import_by_date:38 - 开始导入龙虎榜数据: 20251202
2025-12-20 20:13:36 | INFO     | 34616:35108 | app.mapping.dragon_tiger.daily_mapping:map_daily_dragon_tiger:29 - 开始获取龙虎榜数据: 20251202 - 20251202
2025-12-20 20:13:36 | INFO     | 34616:35108 | app.mapping.dragon_tiger.daily_mapping:map_daily_dragon_tiger:38 - 尝试 API: akshare (优先级 1)
2025-12-20 20:13:36 | DEBUG    | 34616:35108 | app.data_sources.akshare_client:fetch:16 - Calling Akshare API: stock_lhb_detail_em with params: {'start_date': '20251202', 'end_date': '20251202'}
2025-12-20 20:13:40 | DEBUG    | 34616:35108 | app.data_sources.akshare_client:fetch:24 - Received data from Akshare API 'stock_lhb_detail_em':     序号      代码    名称         上榜日                   解读    收盘价  ...          流通市值                     ...
2025-12-20 20:13:40 | INFO     | 34616:35108 | app.mapping.dragon_tiger.daily_config:_fetch_from_akshare:78 - 成功获取龙虎榜数据: 73 条记录
2025-12-20 20:13:40 | INFO     | 34616:35108 | app.mapping.dragon_tiger.daily_mapping:map_daily_dragon_tiger:46 - API akshare 成功获取 73 条龙虎榜记录
2025-12-20 20:13:40 | INFO     | 34616:35108 | app.mapping.dragon_tiger.daily_mapping:map_daily_dragon_tiger:60 - 龙虎榜数据映射完成: 共 73 条记录
2025-12-20 20:13:40 | INFO     | 34616:35108 | app.repository.dragon_tiger.daily_dragon_tiger:bulk_upsert:88 - 龙虎榜数据批量操作完成: 创建 73 条, 更新 0 条
2025-12-20 20:13:40 | INFO     | 34616:35108 | app.services.dragon_tiger_service:import_by_date:52 - 龙虎榜数据导入完成: 20251202 - 创建 73 条, 更新 0 条
2025-12-20 20:13:40 | INFO     | 34616:35108 | app.services.dragon_tiger_service:import_by_date:38 - 开始导入龙虎榜数据: 20251203
2025-12-20 20:13:40 | INFO     | 34616:35108 | app.mapping.dragon_tiger.daily_mapping:map_daily_dragon_tiger:29 - 开始获取龙虎榜数据: 20251203 - 20251203
2025-12-20 20:13:40 | INFO     | 34616:35108 | app.mapping.dragon_tiger.daily_mapping:map_daily_dragon_tiger:38 - 尝试 API: akshare (优先级 1)
2025-12-20 20:13:40 | DEBUG    | 34616:35108 | app.data_sources.akshare_client:fetch:16 - Calling Akshare API: stock_lhb_detail_em with params: {'start_date': '20251203', 'end_date': '20251203'}
2025-12-20 20:13:45 | DEBUG    | 34616:35108 | app.data_sources.akshare_client:fetch:24 - Received data from Akshare API 'stock_lhb_detail_em':     序号      代码    名称         上榜日                   解读    收盘价       涨跌幅  ...      换手率          流通市值  ...
2025-12-20 20:13:45 | INFO     | 34616:35108 | app.mapping.dragon_tiger.daily_config:_fetch_from_akshare:78 - 成功获取龙虎榜数据: 69 条记录
2025-12-20 20:13:45 | INFO     | 34616:35108 | app.mapping.dragon_tiger.daily_mapping:map_daily_dragon_tiger:46 - API akshare 成功获取 69 条龙虎榜记录
2025-12-20 20:13:45 | INFO     | 34616:35108 | app.mapping.dragon_tiger.daily_mapping:map_daily_dragon_tiger:60 - 龙虎榜数据映射完成: 共 69 条记录
2025-12-20 20:13:45 | INFO     | 34616:35108 | app.repository.dragon_tiger.daily_dragon_tiger:bulk_upsert:88 - 龙虎榜数据批量操作完成: 创建 69 条, 更新 0 条
2025-12-20 20:13:45 | INFO     | 34616:35108 | app.services.dragon_tiger_service:import_by_date:52 - 龙虎榜数据导入完成: 20251203 - 创建 69 条, 更新 0 条
2025-12-20 20:13:45 | INFO     | 34616:35108 | app.services.dragon_tiger_service:import_by_date:38 - 开始导入龙虎榜数据: 20251204
2025-12-20 20:13:45 | INFO     | 34616:35108 | app.mapping.dragon_tiger.daily_mapping:map_daily_dragon_tiger:29 - 开始获取龙虎榜数据: 20251204 - 20251204
2025-12-20 20:13:45 | INFO     | 34616:35108 | app.mapping.dragon_tiger.daily_mapping:map_daily_dragon_tiger:38 - 尝试 API: akshare (优先级 1)
2025-12-20 20:13:45 | DEBUG    | 34616:35108 | app.data_sources.akshare_client:fetch:16 - Calling Akshare API: stock_lhb_detail_em with params: {'start_date': '20251204', 'end_date': '20251204'}
2025-12-20 20:13:49 | DEBUG    | 34616:35108 | app.data_sources.akshare_client:fetch:24 - Received data from Akshare API 'stock_lhb_detail_em':     序号      代码    名称         上榜日                解读    收盘价  ...          流通市值                      上榜...
2025-12-20 20:13:49 | INFO     | 34616:35108 | app.mapping.dragon_tiger.daily_config:_fetch_from_akshare:78 - 成功获取龙虎榜数据: 71 条记录
2025-12-20 20:13:49 | INFO     | 34616:35108 | app.mapping.dragon_tiger.daily_mapping:map_daily_dragon_tiger:46 - API akshare 成功获取 71 条龙虎榜记录
2025-12-20 20:13:49 | INFO     | 34616:35108 | app.mapping.dragon_tiger.daily_mapping:map_daily_dragon_tiger:60 - 龙虎榜数据映射完成: 共 71 条记录
2025-12-20 20:13:49 | INFO     | 34616:35108 | app.repository.dragon_tiger.daily_dragon_tiger:bulk_upsert:88 - 龙虎榜数据批量操作完成: 创建 71 条, 更新 0 条
2025-12-20 20:13:49 | INFO     | 34616:35108 | app.services.dragon_tiger_service:import_by_date:52 - 龙虎榜数据导入完成: 20251204 - 创建 71 条, 更新 0 条
2025-12-20 20:13:49 | INFO     | 34616:35108 | app.services.dragon_tiger_service:import_by_date:38 - 开始导入龙虎榜数据: 20251205
2025-12-20 20:13:49 | INFO     | 34616:35108 | app.mapping.dragon_tiger.daily_mapping:map_daily_dragon_tiger:29 - 开始获取龙虎榜数据: 20251205 - 20251205
2025-12-20 20:13:49 | INFO     | 34616:35108 | app.mapping.dragon_tiger.daily_mapping:map_daily_dragon_tiger:38 - 尝试 API: akshare (优先级 1)
2025-12-20 20:13:49 | DEBUG    | 34616:35108 | app.data_sources.akshare_client:fetch:16 - Calling Akshare API: stock_lhb_detail_em with params: {'start_date': '20251205', 'end_date': '20251205'}
2025-12-20 20:13:53 | DEBUG    | 34616:35108 | app.data_sources.akshare_client:fetch:24 - Received data from Akshare API 'stock_lhb_detail_em':     序号      代码    名称         上榜日                解读    收盘价  ...          流通市值                        ...
2025-12-20 20:13:53 | INFO     | 34616:35108 | app.mapping.dragon_tiger.daily_config:_fetch_from_akshare:78 - 成功获取龙虎榜数据: 64 条记录
2025-12-20 20:13:53 | INFO     | 34616:35108 | app.mapping.dragon_tiger.daily_mapping:map_daily_dragon_tiger:46 - API akshare 成功获取 64 条龙虎榜记录
2025-12-20 20:13:53 | INFO     | 34616:35108 | app.mapping.dragon_tiger.daily_mapping:map_daily_dragon_tiger:60 - 龙虎榜数据映射完成: 共 64 条记录
2025-12-20 20:13:53 | INFO     | 34616:35108 | app.repository.dragon_tiger.daily_dragon_tiger:bulk_upsert:88 - 龙虎榜数据批量操作完成: 创建 64 条, 更新 0 条
2025-12-20 20:13:53 | INFO     | 34616:35108 | app.services.dragon_tiger_service:import_by_date:52 - 龙虎榜数据导入完成: 20251205 - 创建 64 条, 更新 0 条
